Date,Cumulative cases                          ,Jurisdiction
01/01/2021 12:00:00 AM,64640,Delaware
01/01/2020 12:00:00 AM,729,Fulton
01/01/2020 12:00:00 AM,19808,Westmoreland
01/01/2020 12:00:00 AM,17590,Luzerne
01/01/2021 12:00:00 AM,11910,Lawrence
01/01/2021 12:00:00 AM,10108,Indiana
01/01/2020 12:00:00 AM,28382,Lancaster
01/01/2020 12:00:00 AM,1939,Tioga
01/01/2021 12:00:00 AM,7380,Venango
01/01/2020 12:00:00 AM,2856,Columbia
01/01/2020 12:00:00 AM,2026,Clarion
01/01/2021 12:00:00 AM,30216,Cumberland
01/01/2020 12:00:00 AM,1459,Pike
01/01/2020 12:00:00 AM,1049,Susquehanna
01/01/2021 12:00:00 AM,21512,Cambria
01/01/2020 12:00:00 AM,6178,Monroe
01/01/2021 12:00:00 AM,20889,Monroe
01/01/2020 12:00:00 AM,7255,Fayette
01/01/2021 12:00:00 AM,8737,Bradford
01/01/2020 12:00:00 AM,1907,Jefferson
01/01/2021 12:00:00 AM,7412,Bedford
01/01/2021 12:00:00 AM,7780,Mifflin
01/01/2020 12:00:00 AM,3477,Mifflin
01/01/2020 12:00:00 AM,10647,Cumberland
01/01/2021 12:00:00 AM,5666,Perry
01/01/2021 12:00:00 AM,23168,Franklin
01/01/2020 12:00:00 AM,9566,Butler
01/01/2020 12:00:00 AM,1528,Warren
01/01/2020 12:00:00 AM,23833,Berks
01/01/2020 12:00:00 AM,1738,McKean
01/01/2020 12:00:00 AM,54764,Allegheny
01/01/2021 12:00:00 AM,5757,Pike
01/01/2021 12:00:00 AM,142527,Allegheny
01/01/2020 12:00:00 AM,14172,Dauphin
01/01/2020 12:00:00 AM,9226,Washington
01/01/2021 12:00:00 AM,28239,Washington
01/01/2021 12:00:00 AM,5199,Tioga
01/01/2021 12:00:00 AM,2501,Fulton
01/01/2021 12:00:00 AM,24413,Beaver
01/01/2021 12:00:00 AM,9830,Armstrong
01/01/2021 12:00:00 AM,629,Sullivan
01/01/2020 12:00:00 AM,20540,Chester
01/01/2020 12:00:00 AM,9291,Centre
01/01/2021 12:00:00 AM,18278,Lycoming
01/01/2020 12:00:00 AM,6061,Mercer
01/01/2020 12:00:00 AM,2442,Venango
01/01/2020 12:00:00 AM,1863,Wayne
01/01/2020 12:00:00 AM,9003,Lackawanna
01/01/2021 12:00:00 AM,12194,Clearfield
01/01/2020 12:00:00 AM,2834,Union
01/01/2021 12:00:00 AM,5617,McKean
01/01/2021 12:00:00 AM,43905,Luzerne
01/01/2021 12:00:00 AM,24359,Lackawanna
01/01/2021 12:00:00 AM,33276,Erie
01/01/2021 12:00:00 AM,50839,Lehigh
01/01/2021 12:00:00 AM,4749,Warren
01/01/2020 12:00:00 AM,23862,York
01/01/2021 12:00:00 AM,14094,Northumberland
01/01/2020 12:00:00 AM,16957,Northampton
01/01/2021 12:00:00 AM,14218,Adams
01/01/2021 12:00:00 AM,89848,Montgomery
01/01/2021 12:00:00 AM,6179,Wayne
01/01/2021 12:00:00 AM,1671,Forest
01/01/2020 12:00:00 AM,4987,Somerset
01/01/2021 12:00:00 AM,53655,Chester
01/01/2020 12:00:00 AM,6174,Lycoming
01/01/2020 12:00:00 AM,36503,Montgomery
01/01/2021 12:00:00 AM,8715,Columbia
01/01/2020 12:00:00 AM,3098,Bradford
01/01/2021 12:00:00 AM,3151,Juniata
01/01/2021 12:00:00 AM,75754,Lancaster
01/01/2020 12:00:00 AM,5010,Crawford
01/01/2021 12:00:00 AM,21928,Centre
01/01/2021 12:00:00 AM,2733,Montour
01/01/2020 12:00:00 AM,1382,Juniata
01/01/2020 12:00:00 AM,1996,Clinton
01/01/2021 12:00:00 AM,2144,Potter
01/01/2021 12:00:00 AM,3026,Wyoming
01/01/2021 12:00:00 AM,48945,Westmoreland
01/01/2020 12:00:00 AM,596,Potter
01/01/2021 12:00:00 AM,7894,Union
01/01/2020 12:00:00 AM,29812,Delaware
01/01/2021 12:00:00 AM,5136,Snyder
01/01/2021 12:00:00 AM,21082,Schuylkill
01/01/2021 12:00:00 AM,7325,Huntingdon
01/01/2020 12:00:00 AM,8021,Schuylkill
01/01/2021 12:00:00 AM,188101,Philadelphia
01/01/2020 12:00:00 AM,3549,Armstrong
01/01/2020 12:00:00 AM,4674,Adams
01/01/2020 12:00:00 AM,30794,Bucks
01/01/2021 12:00:00 AM,5562,Clarion
01/01/2021 12:00:00 AM,22046,Lebanon
01/01/2021 12:00:00 AM,27374,Butler
01/01/2021 12:00:00 AM,15023,Mercer
01/01/2020 12:00:00 AM,1130,Montour
01/01/2021 12:00:00 AM,19543,Fayette
01/01/2021 12:00:00 AM,5768,Jefferson
01/01/2020 12:00:00 AM,5160,Northumberland
01/01/2021 12:00:00 AM,36977,Dauphin
01/01/2021 12:00:00 AM,62287,Berks
01/01/2021 12:00:00 AM,5403,Greene
01/01/2020 12:00:00 AM,1475,Elk
01/01/2020 12:00:00 AM,3129,Huntingdon
01/01/2020 12:00:00 AM,1751,Perry
01/01/2020 12:00:00 AM,8072,Blair
01/01/2020 12:00:00 AM,8827,Franklin
01/01/2020 12:00:00 AM,159,Cameron
01/01/2021 12:00:00 AM,11583,Somerset
01/01/2021 12:00:00 AM,67519,York
01/01/2021 12:00:00 AM,9579,Carbon
01/01/2020 12:00:00 AM,314,Forest
01/01/2020 12:00:00 AM,95445,Philadelphia
01/01/2020 12:00:00 AM,149,Sullivan
01/01/2021 12:00:00 AM,566,Cameron
01/01/2021 12:00:00 AM,76934,Bucks
01/01/2020 12:00:00 AM,1710,Greene
01/01/2021 12:00:00 AM,46886,Northampton
01/01/2020 12:00:00 AM,811,Wyoming
01/01/2020 12:00:00 AM,4261,Lawrence
01/01/2020 12:00:00 AM,4023,Indiana
01/01/2020 12:00:00 AM,4094,Clearfield
01/01/2021 12:00:00 AM,4608,Elk
01/01/2021 12:00:00 AM,4236,Susquehanna
01/01/2021 12:00:00 AM,19565,Blair
01/01/2020 12:00:00 AM,11866,Erie
01/01/2020 12:00:00 AM,20747,Lehigh
01/01/2020 12:00:00 AM,8525,Beaver
01/01/2020 12:00:00 AM,1957,Snyder
01/01/2020 12:00:00 AM,2990,Bedford
01/01/2020 12:00:00 AM,9058,Cambria
01/01/2021 12:00:00 AM,12260,Crawford
01/01/2020 12:00:00 AM,2844,Carbon
01/01/2020 12:00:00 AM,9040,Lebanon
01/01/2021 12:00:00 AM,5676,Clinton
